,method,n,time,accuracy
215,abess,520,0.016900300979614258,1.0
216,abess,520,0.014744281768798828,1.0
217,abess,520,0.01760411262512207,1.0
218,abess,520,0.01379251480102539,1.0
219,abess,520,0.02092146873474121,1.0
220,abess,540,0.020087718963623047,0.95
221,abess,540,0.0151214599609375,0.95
222,abess,540,0.022011280059814453,0.95
223,abess,540,0.014436483383178711,0.9
224,abess,540,0.02378368377685547,1.0
225,abess,540,0.013921022415161133,0.95
226,abess,540,0.019939184188842773,1.0
227,abess,540,0.022084951400756836,1.0
228,abess,540,0.018807649612426758,1.0
229,abess,540,0.014899492263793945,1.0
230,abess,560,0.016764402389526367,0.95
231,abess,560,0.017802953720092773,0.95
232,abess,560,0.022183895111083984,1.0
233,abess,560,0.019863128662109375,1.0
234,abess,560,0.02247333526611328,1.0
235,abess,560,0.014302492141723633,1.0
236,abess,560,0.015556097030639648,1.0
237,abess,560,0.022848844528198242,1.0
238,abess,560,0.015418767929077148,1.0
239,abess,560,0.02196335792541504,1.0
240,abess,580,0.016859769821166992,1.0
241,abess,580,0.024621248245239258,1.0
242,abess,580,0.02479267120361328,1.0
243,abess,580,0.020062685012817383,1.0
244,abess,580,0.02070927619934082,1.0
245,abess,580,0.022745132446289062,1.0
246,abess,580,0.018716812133789062,1.0
247,abess,580,0.017066001892089844,1.0
248,abess,580,0.021715641021728516,1.0
249,abess,580,0.02167487144470215,1.0
