,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
255,50,50,7,0.8571428571428571,0.8571428571428571,0.03215456008911133,3.3623502254486084
256,50,50,47,0.9361702127659575,0.9574468085106383,0.6872074604034424,1.5520191192626953
257,100,100,61,0.6721311475409836,0.6721311475409836,3.1183154582977295,3602.1902165412903
258,50,50,22,0.6818181818181818,0.5909090909090909,0.12526798248291016,1029.9955790042877
259,100,100,16,0.625,0.625,0.27416467666625977,3602.423440217972
260,100,100,56,0.5892857142857143,0.625,2.6022372245788574,3602.244775533676
261,100,100,76,0.7763157894736842,0.7763157894736842,5.593254804611206,3600.89284825325
262,100,100,11,0.6363636363636364,0.7272727272727273,0.2976372241973877,3602.56902384758
263,100,100,31,0.6129032258064516,0.6129032258064516,0.9478940963745117,3602.33456158638
264,50,50,18,0.6666666666666666,0.5555555555555556,0.10494303703308105,354.6329028606415
265,50,50,29,0.6551724137931034,0.5517241379310345,0.23346400260925293,179.150484085083
266,100,100,71,0.7323943661971831,0.7464788732394366,4.384652614593506,3601.7634806632996
267,100,100,26,0.6538461538461539,0.7307692307692307,0.5503699779510498,3602.373658180237
268,100,100,46,0.6521739130434783,0.6086956521739131,1.9130003452301025,3602.2998123168945
269,100,100,83,0.8192771084337349,0.8313253012048193,9.244247674942017,138.33097386360168
270,100,100,1,1.0,1.0,0.08534884452819824,0.39378833770751953
271,100,100,78,0.8076923076923077,0.7692307692307693,5.493549823760986,3601.1773805618286
272,100,100,98,0.9795918367346939,0.9795918367346939,6.582277297973633,7.90373969078064
273,100,100,33,0.6666666666666666,0.696969696969697,1.1071701049804688,3602.402088165283
274,100,100,53,0.6226415094339622,0.5849056603773585,2.479247570037842,3602.3254210948944
275,50,50,40,0.825,0.8,0.514411211013794,3.277700662612915
276,100,100,8,0.875,0.875,0.14229774475097656,153.30228638648987
277,100,100,93,0.9354838709677419,0.9354838709677419,10.593710660934448,7.039350986480713
278,100,100,48,0.6458333333333334,0.6458333333333334,1.2952520847320557,3602.266359090805
279,50,50,35,0.7142857142857143,0.7428571428571429,0.3472404479980469,71.02923631668091
280,100,100,3,1.0,1.0,0.13512229919433594,0.7439310550689697
281,50,50,10,0.8,0.8,0.0540621280670166,37.271825551986694
282,100,100,4,0.75,0.75,0.11526918411254883,3.5248420238494873
283,100,100,89,0.8764044943820225,0.8876404494382022,9.608531475067139,19.804572582244873
284,100,100,100,1.0,1.0,0.9255790710449219,0.3772575855255127
285,100,100,44,0.5909090909090909,0.6136363636363636,1.8514175415039062,3602.2675788402557
286,100,100,64,0.703125,0.75,4.1142802238464355,3602.489644765854
287,50,50,5,1.0,1.0,0.02555370330810547,0.8516600131988525
288,100,100,86,0.8488372093023255,0.872093023255814,9.19352674484253,141.40226888656616
