,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,Lasso_accuracy,Lasso_best_lambda,Lasso_time
1807,950,11807,1.0,2.4079864025115967,0.4,1.6467297077178955,1.0,0.000774263682681127,22.8716242313385,1.0,0.0910191535949707,1.0,100000.0,10.740415334701538
1808,950,11808,1.0,2.4908931255340576,0.52,5.3357179164886475,1.0,0.000774263682681127,8.303828001022339,1.0,0.024504423141479492,1.0,100000.0,11.02143907546997
1809,950,11809,1.0,2.52014422416687,0.5,8.976014852523804,1.0,0.000774263682681127,29.62500548362732,1.0,0.18065357208251953,0.98,119531.25,20.235594987869263
1810,950,11810,1.0,0.6106367111206055,0.54,6.590101718902588,1.0,0.000774263682681127,18.53814673423767,1.0,0.07696032524108887,1.0,100000.0,3.7413458824157715
1811,950,11811,1.0,1.2443640232086182,0.44,0.9485006332397461,1.0,0.000774263682681127,22.992671489715576,1.0,0.05861830711364746,0.98,123688.33451603222,44.00966000556946
1812,950,11812,1.0,1.1967313289642334,0.5,1.5096518993377686,1.0,0.000774263682681127,25.065357208251953,0.98,0.13316798210144043,1.0,100000.0,4.3304665088653564
1813,950,11813,1.0,2.088386058807373,0.46,3.1976234912872314,1.0,0.000774263682681127,14.094834089279175,1.0,0.20760107040405273,1.0,100000.0,6.586354970932007
1814,950,11814,1.0,1.1442043781280518,0.44,2.6451778411865234,1.0,0.000774263682681127,15.731109380722046,1.0,0.04433941841125488,1.0,100000.0,4.80102801322937
1815,950,11815,1.0,1.3353822231292725,0.48,3.1274614334106445,1.0,0.000774263682681127,10.544427394866943,0.98,0.05236077308654785,0.98,106250.0,7.493276119232178
1816,950,11816,1.0,0.8286170959472656,0.46,1.1052603721618652,1.0,0.000774263682681127,13.554426670074463,1.0,0.044051170349121094,1.0,100000.0,2.2491776943206787
1817,950,11817,1.0,0.8694932460784912,0.54,1.947131872177124,1.0,0.000774263682681127,12.365927696228027,1.0,0.11323428153991699,1.0,100000.0,3.1308488845825195
1818,950,11818,1.0,0.7818408012390137,0.46,1.3963091373443604,1.0,0.000774263682681127,11.961721181869507,0.98,0.04355216026306152,0.98,103930.6640625,11.771065711975098
1819,950,11819,1.0,1.0377485752105713,0.5,2.1015524864196777,1.0,0.000774263682681127,11.846537351608276,1.0,0.06496405601501465,1.0,100000.0,3.6091084480285645
