n,k,seed,Lasso_accuracy,Lasso_best_lambda,Lasso_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,SCOPE_accuracy,SCOPE_time
400,40,252,0.925,119.53125,183.42749214172363,1,0.10727596282958984,1,0.003593813663804626,14.284456491470337,0.875,0.039658308029174805,1,0.8869719505310059
350,40,235,0.825,140.625,129.28815817832947,0.925,0.09973263740539551,0.9,0.003593813663804626,15.042170763015747,0.725,0.03799891471862793,0.95,1.5830516815185547
300,40,220,0.825,75,111.11791968345642,0.9,0.06228828430175781,0.875,0.003593813663804626,7.037818670272827,0.875,0.03131723403930664,0.9,0.5917329788208008
200,40,189,0.825,71.13862037658691,125.5100200176239,0.825,0.050849199295043945,0.925,0.005994842503189409,2.0741281509399414,0.8,0.021643638610839844,0.925,0.9316022396087646
250,40,204,0.9,86.36283874511719,138.1383764743805,0.975,0.061896324157714844,0.975,0.003593813663804626,3.7796239852905273,0.875,0.023130178451538086,0.975,0.5917015075683594
350,40,236,0.8,125,138.96415543556213,0.925,0.12867450714111328,0.9,0.002154434690031882,13.429661273956299,0.75,0.047484636306762695,0.975,2.168372869491577
300,40,221,0.85,103.125,120.736732006073,1,0.09946131706237793,1,0.003593813663804626,5.296020984649658,0.875,0.025999069213867188,0.975,0.9210906028747559
250,40,205,0.9,75,95.95300245285034,0.925,0.07468962669372559,0.95,0.003593813663804626,4.049642086029053,0.925,0.022899150848388672,0.975,0.588209867477417
200,40,190,0.8,61.87405586242676,129.40459394454956,0.875,0.05424070358276367,0.925,0.003593813663804626,2.8697738647460938,0.8,0.022281885147094727,0.9,1.0119702816009521
400,40,253,0.95,135.6130261740418,308.87171936035156,1,0.08269929885864258,1,0.001291549665014884,11.636842250823975,0.925,0.03631114959716797,1,0.8798079490661621
350,40,237,0.925,125,128.84047031402588,0.95,0.09328770637512207,0.975,0.003593813663804626,10.967984676361084,0.9,0.03341317176818848,0.975,1.3868670463562012
250,40,206,0.825,93.75,86.06651377677917,0.825,0.049284934997558594,0.9,0.005994842503189409,5.863589286804199,0.825,0.0657496452331543,0.9,0.7139995098114014
300,40,222,0.925,89.6484375,136.8570692539215,1,0.08623504638671875,1,0.003593813663804626,5.607922554016113,0.875,0.0371403694152832,1,0.7043099403381348
250,40,207,0.825,85.693359375,124.09223103523254,0.85,0.06153249740600586,0.975,0.003593813663804626,4.99871563911438,0.775,0.028569459915161133,0.975,1.1994507312774658
