,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
894,450,1015,0.64,8.947021484375,0.8,80.72101950645447,0.64,26.072797060012817
895,450,1071,0.64,8.205881357192993,0.72,71.1675751209259,0.66,64.36129450798035
896,500,1153,0.74,33.135308504104614,0.82,59.15526843070984,0.72,42.9198956489563
897,500,1094,0.7,22.142627000808716,0.8,195.73061275482178,0.72,73.64868068695068
898,500,1123,0.76,18.542628288269043,0.82,178.73364973068237,0.72,65.74188137054443
899,450,1042,0.64,11.058231353759766,0.66,79.71807765960693,0.6,69.76523160934448
900,450,984,0.74,2.921466588973999,0.84,56.64377737045288,0.74,55.68607568740845
901,500,1095,0.64,14.213399171829224,0.7,21.27707290649414,0.7,16.9123592376709
902,500,1154,0.68,2.661600112915039,0.82,90.41440773010254,0.72,30.31007957458496
903,450,1072,0.64,14.112313508987427,0.66,214.26080346107483,0.64,62.203710079193115
904,500,1173,0.66,2.0153005123138428,0.78,100.35450148582458,0.76,42.926398515701294
905,400,870,0.56,7.086717128753662,0.6,61.54447102546692,0.64,36.29554724693298
906,450,1016,0.66,10.372576236724854,0.68,113.61919164657593,0.6,50.693960666656494
907,450,1043,0.6,9.868592739105225,0.66,56.691110134124756,0.72,20.933464288711548
908,500,1124,0.56,8.146315336227417,0.7,51.85944437980652,0.72,93.81277990341187
909,450,985,0.74,0.8073458671569824,0.76,40.6688597202301,0.76,34.384910106658936
910,550,1201,0.68,22.61449098587036,0.84,112.3743908405304,0.74,59.57121515274048
911,500,1174,0.72,1.950294017791748,0.82,173.92367911338806,0.78,27.23830533027649
912,450,1073,0.58,5.406404495239258,0.66,85.96721696853638,0.6,66.43252086639404
913,500,1155,0.74,7.754775047302246,0.8,75.97064924240112,0.76,29.884465217590332
914,450,986,0.7,8.728123903274536,0.76,117.94168877601624,0.64,26.672648906707764
915,450,1044,0.68,10.810474872589111,0.72,74.00109624862671,0.68,32.87469434738159
916,450,1017,0.7,4.829883337020874,0.76,73.02851748466492,0.64,65.30285310745239
917,500,1125,0.76,10.03006100654602,0.84,51.06264066696167,0.7,69.49099731445312
918,500,1096,0.76,26.62881827354431,0.76,114.86424851417542,0.82,58.50985383987427
919,550,1231,0.68,20.235612630844116,0.8,49.463133573532104,0.74,112.10090851783752
920,500,1156,0.7,3.6562414169311523,0.76,61.78576183319092,0.72,79.9328122138977
921,550,1202,0.74,14.084165096282959,0.8,163.12138891220093,0.76,5.509066343307495
922,450,987,0.64,25.255051374435425,0.64,117.51319670677185,0.64,25.555288076400757
923,500,1097,0.7,3.8050193786621094,0.8,78.36120820045471,0.7,31.07066249847412
924,450,1045,0.7,9.157150030136108,0.72,91.7436625957489,0.72,53.50440812110901
