,model,n,p,k,seed,method,time,accuracy,n_iters
299,linear,100,500,50,33,GraSP_jit,4.659416483000314,0.22,93.0
300,linear,100,500,50,33,GraSP,81.42343854799947,0.22,93.0
301,linear,100,500,50,33,IHT_jit,0.24704158700023982,0.24,2.0
302,linear,100,500,50,33,IHT,0.3953535809996538,0.24,2.0
303,linear,100,500,50,33,HTP_jit,0.37312106500030495,0.22,8.0
304,linear,100,500,50,33,HTP,4.060380486000213,0.22,8.0
305,linear,100,500,50,33,CVXPY,0.010597962000247207,0.1,0.0
306,linear,100,500,50,34,SCOPE_jit,0.7008543599995392,0.42,21.0
307,linear,100,500,50,34,SCOPE,9.483847450999747,0.42,21.0
308,linear,100,500,50,34,GraSP_jit,4.113621990999491,0.34,66.0
309,linear,100,500,50,34,GraSP,66.01370362899979,0.34,66.0
310,linear,100,500,50,34,IHT_jit,0.4298091589998876,0.34,1.0
311,linear,100,500,50,34,IHT,0.3337244650001594,0.34,1.0
312,linear,100,500,50,34,HTP_jit,0.6734054640000977,0.16,36.0
313,linear,100,500,50,34,HTP,15.93130899300013,0.16,36.0
314,linear,100,500,50,34,CVXPY,0.04388283499974932,0.38,0.0
315,linear,100,500,50,35,SCOPE_jit,0.7836238360005154,0.24,19.0
316,linear,100,500,50,35,SCOPE,8.379506203000346,0.24,19.0
317,linear,100,500,50,35,GraSP_jit,1.7673214260003078,0.2,40.0
318,linear,100,500,50,35,GraSP,38.6100941980003,0.2,40.0
319,linear,100,500,50,35,IHT_jit,0.31341566300034174,0.32,1.0
320,linear,100,500,50,35,IHT,0.47409174000040366,0.32,1.0
321,linear,100,500,50,35,HTP_jit,0.6816860890003227,0.24,9.0
322,linear,100,500,50,35,HTP,2.48992433300009,0.24,9.0
323,linear,100,500,50,35,CVXPY,0.028169750999950338,0.28,0.0
324,linear,100,500,50,36,SCOPE_jit,0.7301358969998546,0.3,25.0
325,linear,100,500,50,36,SCOPE,11.690288261000205,0.3,25.0
326,linear,100,500,50,36,GraSP_jit,1.5358916380000665,0.3,34.0
327,linear,100,500,50,36,GraSP,39.794375174999914,0.3,34.0
328,linear,100,500,50,36,IHT_jit,0.3462482169998111,0.42,1.0
329,linear,100,500,50,36,IHT,0.38263326000014786,0.42,1.0
330,linear,100,500,50,36,HTP_jit,0.6015658239994082,0.22,36.0
331,linear,100,500,50,36,HTP,9.111219096999776,0.22,36.0
332,linear,100,500,50,36,CVXPY,0.01463289999992412,0.36,0.0
333,linear,100,500,50,37,SCOPE_jit,0.8415882070003136,0.28,22.0
334,linear,100,500,50,37,SCOPE,11.969208664999314,0.28,22.0
335,linear,100,500,50,37,GraSP_jit,3.692613199000334,0.34,84.0
336,linear,100,500,50,37,GraSP,83.05111102800038,0.34,84.0
337,linear,100,500,50,37,IHT_jit,0.3016368019998481,0.34,2.0
338,linear,100,500,50,37,IHT,0.3309797140000228,0.34,2.0
339,linear,100,500,50,37,HTP_jit,0.2897239049998461,0.22,8.0
340,linear,100,500,50,37,HTP,3.4039603269993677,0.22,8.0
341,linear,100,500,50,37,CVXPY,0.03798081100012496,0.36,0.0
342,linear,100,500,50,38,SCOPE_jit,1.0846724399998493,0.22,31.0
343,linear,100,500,50,38,SCOPE,12.130188969999836,0.22,31.0
344,linear,100,500,50,38,GraSP_jit,1.5551245729993752,0.16,27.0
345,linear,100,500,50,38,GraSP,30.093298521999714,0.16,27.0
346,linear,100,500,50,38,IHT_jit,0.3056447090002621,0.28,3.0
347,linear,100,500,50,38,IHT,0.6193002449999767,0.28,3.0
348,linear,100,500,50,38,HTP_jit,0.8093955040003493,0.22,22.0
349,linear,100,500,50,38,HTP,6.01048876599998,0.22,22.0
350,linear,100,500,50,38,CVXPY,0.050150945000495994,0.28,0.0
351,linear,100,500,50,39,SCOPE_jit,0.8876360710000881,0.26,24.0
352,linear,100,500,50,39,SCOPE,9.613216972000373,0.26,24.0
353,linear,100,500,50,39,GraSP_jit,2.429420473999926,0.26,51.0
354,linear,100,500,50,39,GraSP,52.85365306299991,0.26,51.0
355,linear,100,500,50,39,IHT_jit,0.34365804700064473,0.32,2.0
356,linear,100,500,50,39,IHT,0.5488162860001466,0.32,2.0
357,linear,100,500,50,39,HTP_jit,0.6118718679999802,0.26,10.0
358,linear,100,500,50,39,HTP,2.941933028000676,0.26,10.0
359,linear,100,500,50,39,CVXPY,0.13032228900010523,0.3,0.0
360,linear,100,500,50,40,SCOPE_jit,1.3529541309999331,0.22,21.0
361,linear,100,500,50,40,SCOPE,13.37861973300005,0.22,21.0
362,linear,100,500,50,40,GraSP_jit,3.8693401869995796,0.18,82.0
363,linear,100,500,50,40,GraSP,83.13523569599965,0.18,82.0
364,linear,100,500,50,40,IHT_jit,0.21524092799973005,0.18,2.0
365,linear,100,500,50,40,IHT,0.29511234399979,0.18,2.0
366,linear,100,500,50,40,HTP_jit,0.28950965700005327,0.18,7.0
367,linear,100,500,50,40,HTP,2.536085951000132,0.18,7.0
368,linear,100,500,50,40,CVXPY,0.02856584099936299,0.26,0.0
369,linear,100,500,50,41,SCOPE_jit,0.8390639810004359,0.28,18.0
