,model,n,p,k,seed,method,time,accuracy
208,linear,500,500,50,41,HTP_jit,0.4584140540100634,1.0
209,linear,500,500,50,41,CVXPY,0.15182349691167474,0.92
210,linear,500,500,50,42,SCOPE_jit,0.990270767128095,1.0
211,linear,500,500,50,42,GraSP_jit,0.5085533978417516,0.98
212,linear,500,500,50,42,IHT_jit,0.21308542997576296,0.98
213,linear,500,500,50,42,HTP_jit,0.2374798881355673,1.0
214,linear,500,500,50,42,CVXPY,0.27650015498511493,0.38
215,linear,500,500,50,43,SCOPE_jit,1.6388017351273447,1.0
216,linear,500,500,50,43,GraSP_jit,1.0722672590054572,1.0
217,linear,500,500,50,43,IHT_jit,0.21964144497178495,0.98
218,linear,500,500,50,43,HTP_jit,0.25545311090536416,1.0
219,linear,500,500,50,43,CVXPY,0.2820177939720452,0.92
220,linear,500,500,50,44,SCOPE_jit,0.875449928920716,1.0
221,linear,500,500,50,44,GraSP_jit,0.5648537871893495,1.0
222,linear,500,500,50,44,IHT_jit,0.7756902549881488,1.0
223,linear,500,500,50,44,HTP_jit,1.659757592016831,1.0
224,linear,500,500,50,44,CVXPY,0.16098355990834534,0.94
225,linear,500,500,50,45,SCOPE_jit,0.5269249130506068,1.0
226,linear,500,500,50,45,GraSP_jit,0.3067252200562507,1.0
227,linear,500,500,50,45,IHT_jit,0.35751426708884537,1.0
228,linear,500,500,50,45,HTP_jit,0.32367784110829234,1.0
229,linear,500,500,50,45,CVXPY,0.2613658618647605,0.14
230,linear,500,500,50,46,SCOPE_jit,0.8569647260010242,1.0
231,linear,500,500,50,46,GraSP_jit,0.6180300221312791,1.0
232,linear,500,500,50,46,IHT_jit,0.48599013313651085,1.0
233,linear,500,500,50,46,HTP_jit,0.2699461088050157,1.0
234,linear,500,500,50,46,CVXPY,0.17529593617655337,0.3
235,linear,500,500,50,47,SCOPE_jit,1.5713177570141852,1.0
236,linear,500,500,50,47,GraSP_jit,1.1921529041137546,1.0
237,linear,500,500,50,47,IHT_jit,0.23172440310008824,1.0
238,linear,500,500,50,47,HTP_jit,0.23499046894721687,1.0
239,linear,500,500,50,47,CVXPY,0.20388034405186772,0.66
240,linear,500,500,50,48,SCOPE_jit,1.137507535982877,1.0
241,linear,500,500,50,48,GraSP_jit,2.760872334940359,1.0
242,linear,500,500,50,48,IHT_jit,0.4636566510889679,1.0
243,linear,500,500,50,48,HTP_jit,0.7015724841039628,1.0
244,linear,500,500,50,48,CVXPY,0.42500541894696653,0.9
245,linear,500,500,50,49,SCOPE_jit,1.0192233740817755,1.0
246,linear,500,500,50,49,GraSP_jit,1.6063751359470189,1.0
247,linear,500,500,50,49,IHT_jit,0.21591481007635593,1.0
248,linear,500,500,50,49,HTP_jit,0.2407534779049456,1.0
249,linear,500,500,50,49,CVXPY,0.15564376208931208,0.92
250,linear,600,500,50,50,SCOPE_jit,1.9377181609161198,1.0
251,linear,600,500,50,50,GraSP_jit,0.7119811261072755,1.0
252,linear,600,500,50,50,IHT_jit,0.9680993468500674,1.0
253,linear,600,500,50,50,HTP_jit,0.4308256129734218,1.0
254,linear,600,500,50,50,CVXPY,0.41632101498544216,0.6
255,linear,600,500,50,51,SCOPE_jit,0.9310726148542017,1.0
256,linear,600,500,50,51,GraSP_jit,0.7504938519559801,1.0
257,linear,600,500,50,51,IHT_jit,0.17164317099377513,1.0
258,linear,600,500,50,51,HTP_jit,0.23507732199504972,1.0
259,linear,600,500,50,51,CVXPY,0.1967340470291674,0.86
260,linear,600,500,50,52,SCOPE_jit,0.6579150150064379,1.0
261,linear,600,500,50,52,GraSP_jit,0.4820088339038193,1.0
262,linear,600,500,50,52,IHT_jit,0.309320033993572,1.0
263,linear,600,500,50,52,HTP_jit,0.31720859999768436,1.0
264,linear,600,500,50,52,CVXPY,0.3559133110102266,0.64
265,linear,600,500,50,53,SCOPE_jit,0.9478651240933686,1.0
266,linear,600,500,50,53,GraSP_jit,3.5911210619378835,1.0
267,linear,600,500,50,53,IHT_jit,0.18486107094213367,1.0
268,linear,600,500,50,53,HTP_jit,0.306780647020787,1.0
269,linear,600,500,50,53,CVXPY,0.19193542981520295,0.76
270,linear,600,500,50,54,SCOPE_jit,0.8054180510807782,1.0
271,linear,600,500,50,54,GraSP_jit,1.0100164231844246,1.0
272,linear,600,500,50,54,IHT_jit,0.7200764240697026,0.98
273,linear,600,500,50,54,HTP_jit,0.584953879006207,1.0
274,linear,600,500,50,54,CVXPY,0.2962936188559979,0.26
275,linear,600,500,50,55,SCOPE_jit,1.7597952501382679,1.0
276,linear,600,500,50,55,GraSP_jit,6.09106180514209,1.0
277,linear,600,500,50,55,IHT_jit,0.3715229139197618,1.0
278,linear,600,500,50,55,HTP_jit,0.5906319678761065,1.0
279,linear,600,500,50,55,CVXPY,0.27861059294082224,0.88
280,linear,600,500,50,56,SCOPE_jit,1.2169763981364667,1.0
281,linear,600,500,50,56,GraSP_jit,0.41656160494312644,1.0
282,linear,600,500,50,56,IHT_jit,0.6565020871348679,1.0
283,linear,600,500,50,56,HTP_jit,0.36486061895266175,1.0
284,linear,600,500,50,56,CVXPY,0.28044718294404447,0.74
285,linear,600,500,50,57,SCOPE_jit,0.6629009479656816,1.0
286,linear,600,500,50,57,GraSP_jit,0.7145603820681572,1.0
287,linear,600,500,50,57,IHT_jit,0.7029037468601018,1.0
288,linear,600,500,50,57,HTP_jit,0.44241261994466186,1.0
289,linear,600,500,50,57,CVXPY,0.16515060304664075,0.66
290,linear,600,500,50,58,SCOPE_jit,1.4866694130469114,1.0
291,linear,600,500,50,58,GraSP_jit,0.47190901008434594,1.0
292,linear,600,500,50,58,IHT_jit,0.21074691112153232,1.0
293,linear,600,500,50,58,HTP_jit,0.5102467089891434,1.0
294,linear,600,500,50,58,CVXPY,0.10605973494239151,0.84
