(864, 77) (864,)
(216, 77) (216,)
(8239, 561) (8239,)
(2060, 561) (2060,)
(6237, 617) (6237,)
(1560, 617) (1560,)
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 350, 'accuracy': Array(0.97621363, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 400, 'accuracy': Array(0.9791262, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 450, 'accuracy': Array(0.9796117, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 500, 'accuracy': Array(0.9786408, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 550, 'accuracy': Array(0.9800971, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 50, 'accuracy': Array(0.5467949, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 100, 'accuracy': Array(0.6942308, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 150, 'accuracy': Array(0.68653846, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 200, 'accuracy': Array(0.7512821, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 250, 'accuracy': Array(0.7948718, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 300, 'accuracy': Array(0.85256416, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 350, 'accuracy': Array(0.87371796, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 400, 'accuracy': Array(0.89102566, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 450, 'accuracy': Array(0.9160257, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 500, 'accuracy': Array(0.93333334, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 550, 'accuracy': Array(0.94807696, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'IHTSolver', 'num_selected_features': 600, 'accuracy': Array(0.95576924, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 5, 'accuracy': Array(0.45833334, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 10, 'accuracy': Array(0.7037037, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 15, 'accuracy': Array(0.9074074, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 20, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 25, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 30, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 35, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 40, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 45, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 50, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 55, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 60, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 65, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 70, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'OMPSolver', 'num_selected_features': 75, 'accuracy': Array(0.9027778, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 50, 'accuracy': Array(0.97087383, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 100, 'accuracy': Array(0.9669903, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 150, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 200, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 250, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 300, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 350, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 400, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 450, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 500, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'OMPSolver', 'num_selected_features': 550, 'accuracy': Array(0.9674758, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 50, 'accuracy': Array(0.88076925, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 100, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 150, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 200, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 250, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
